app,detected,benign,malicious,time
App1,X,5,41,22
App2,X,60,60,23
App3,X,4,32,110
App4,,2,2,3
App5,,1,1,4
App6,X,73,63,44
App7,,4,4,12
App8,X,0,19,87
App9,X,7,145,29
App10,,11,11,19
App11,,6,2,20
App12,X,0,14,27
App13,X,0,13,12
App14,X,1,59,28
App15,,4,4,11
App16,X,0,9,5
App17,X,0,6,18
App18,X,0,26,14
App19,X,0,14,7
App20,,0,0,3
App21,X,0,57,30
App22,,6,6,12
App23,X,0,3,6
App24,X,5,61,43
App26,X,37,40,18
App27,,0,0,22
App28,,0,0,21
App29,X,1,16,23
App30,X,0,13,10
App31,,4,4,9
App32,X,2,44,38
App33,,0,0,27
App34,,6,6,16
App35,X,0,3,6
App37,X,30,32,24
App38,X,46,48,394
App39,,2,2,23
App40,X,70,71,44
App41,X,0,36,25
App42,X,0,14,6
App43,X,5,3,16
App44,X,8,34,36
App45,X,4,30,9
App46,X,2,4,5
App47,,8,8,8
App48,,9,7,262
App49,,3,3,10
App50,X,0,1,18
App51,X,0,58,152
App52,X,3,27,30
App53,,0,0,4
App54,X,0,34,20
App55,X,0,4,31
App56,X,1,1,5
App57,X,0,28,18
App58,,0,0,23
App59,X,0,1,11
App60,,0,0,3
App61,X,0,6,13
App62,X,80,79,299
App63,,6,6,5
App64,,0,0,4
App65,,7,7,9
App66,X,37,42,21
App67,X,0,6,13
App68,,0,0,5
App69,,0,0,11
App70,,0,0,6
App71,X,0,32,18
App72,,16,16,12
App73,,87,85,12
App74,X,0,5,12
App75,,5,5,12
App76,X,0,29,15
App77,X,0,23,15
App78,X,0,15,10
App79,,3,3,11
App80,X,2,30,30
App81,,0,0,7
App82,X,0,27,15
App83,X,0,35,9
App84,X,0,25,11
App85,,4,4,14
App86,,1,1,5
App87,X,0,14,12
App89,,2,2,3
App90,X,2,27,19
App91,X,11,11,12
App92,X,3,5,7
App94,X,39,36,19
App95,X,0,31,15
App96,,4,4,9
App97,,0,0,26
App98,X,0,29,12
App99,,0,0,3
App100,X,0,62,16
App101,X,18,56,437
App102,,4,4,7
