tool,app,malware,static,repetition
flowdroid,app-8,1,1,1
flowdroid,app-9,1,1,1
flowdroid,app-100,1,1,1
flowdroid,app-101,1,1,1
flowdroid,app-102,0,1,1
flowdroid,app-44,1,1,1
flowdroid,app-55,1,1,1
droidbot,app-1,1,1,1
droidbot,app-1,1,1,2
droidbot,app-1,1,1,3
droidbot,app-10,0,1,1
droidbot,app-10,0,1,2
droidbot,app-10,0,1,3
droidbot,app-100,1,1,1
droidbot,app-100,1,1,2
droidbot,app-100,1,1,3
droidbot,app-101,1,1,1
droidbot,app-101,1,1,2
droidbot,app-101,1,1,3
droidbot,app-102,0,1,1
droidbot,app-102,0,1,2
droidbot,app-102,0,1,3
droidbot,app-11,1,1,1
droidbot,app-11,1,1,2
droidbot,app-11,1,1,3
droidbot,app-12,0,1,1
droidbot,app-12,1,1,2
droidbot,app-12,0,1,3
droidbot,app-13,0,1,1
droidbot,app-13,0,1,2
droidbot,app-13,1,1,3
droidbot,app-14,1,1,1
droidbot,app-14,1,1,2
droidbot,app-14,1,1,3
droidbot,app-15,0,1,1
droidbot,app-15,0,1,2
droidbot,app-15,0,1,3
droidbot,app-16,1,1,1
droidbot,app-16,1,1,2
droidbot,app-16,1,1,3
droidbot,app-17,1,1,1
droidbot,app-17,1,1,2
droidbot,app-17,1,1,3
droidbot,app-18,1,1,1
droidbot,app-18,1,1,2
droidbot,app-18,1,1,3
droidbot,app-19,1,1,1
droidbot,app-19,1,1,2
droidbot,app-19,1,1,3
droidbot,app-2,0,1,1
droidbot,app-2,0,1,2
droidbot,app-2,0,1,3
droidbot,app-20,1,1,1
droidbot,app-20,1,1,2
droidbot,app-20,1,1,3
droidbot,app-21,1,1,1
droidbot,app-21,1,1,2
droidbot,app-21,1,1,3
droidbot,app-22,0,1,1
droidbot,app-22,0,1,2
droidbot,app-22,0,1,3
droidbot,app-23,1,1,1
droidbot,app-23,1,1,2
droidbot,app-23,1,1,3
droidbot,app-24,1,1,1
droidbot,app-24,1,1,2
droidbot,app-24,1,1,3
droidbot,app-26,1,1,1
droidbot,app-26,1,1,2
droidbot,app-26,1,1,3
droidbot,app-27,1,1,1
droidbot,app-27,1,1,2
droidbot,app-27,1,1,3
droidbot,app-28,1,1,1
droidbot,app-28,1,1,2
droidbot,app-28,1,1,3
droidbot,app-29,1,1,1
droidbot,app-29,1,1,2
droidbot,app-29,1,1,3
droidbot,app-3,1,1,1
droidbot,app-3,1,1,2
droidbot,app-3,1,1,3
droidbot,app-30,1,1,1
droidbot,app-30,1,1,2
droidbot,app-30,1,1,3
droidbot,app-31,0,1,1
droidbot,app-31,0,1,2
droidbot,app-31,0,1,3
droidbot,app-33,1,1,1
droidbot,app-33,1,1,2
droidbot,app-33,1,1,3
droidbot,app-34,1,1,1
droidbot,app-34,1,1,2
droidbot,app-34,1,1,3
droidbot,app-35,0,1,1
droidbot,app-35,0,1,2
droidbot,app-35,0,1,3
droidbot,app-37,1,1,1
droidbot,app-37,0,1,2
droidbot,app-37,0,1,3
droidbot,app-38,0,1,1
droidbot,app-38,0,1,2
droidbot,app-38,0,1,3
droidbot,app-39,0,1,1
droidbot,app-39,0,1,2
droidbot,app-39,0,1,3
droidbot,app-4,0,1,1
droidbot,app-4,0,1,2
droidbot,app-4,0,1,3
droidbot,app-40,1,1,1
droidbot,app-40,1,1,2
droidbot,app-40,1,1,3
droidbot,app-42,1,1,1
droidbot,app-42,1,1,2
droidbot,app-42,1,1,3
droidbot,app-43,1,1,1
droidbot,app-43,1,1,2
droidbot,app-43,1,1,3
droidbot,app-44,0,1,1
droidbot,app-44,0,1,2
droidbot,app-44,0,1,3
droidbot,app-45,1,1,1
droidbot,app-45,1,1,2
droidbot,app-45,1,1,3
droidbot,app-46,1,1,1
droidbot,app-46,1,1,2
droidbot,app-46,1,1,3
droidbot,app-47,1,1,1
droidbot,app-47,1,1,2
droidbot,app-47,1,1,3
droidbot,app-48,1,1,1
droidbot,app-48,0,1,2
droidbot,app-48,1,1,3
droidbot,app-49,1,1,1
droidbot,app-49,1,1,2
droidbot,app-49,1,1,3
droidbot,app-5,0,1,1
droidbot,app-5,0,1,2
droidbot,app-5,0,1,3
droidbot,app-50,1,1,1
droidbot,app-50,1,1,2
droidbot,app-50,1,1,3
droidbot,app-51,1,1,1
droidbot,app-51,1,1,2
droidbot,app-51,1,1,3
droidbot,app-52,1,1,1
droidbot,app-52,1,1,2
droidbot,app-52,1,1,3
droidbot,app-53,1,1,1
droidbot,app-53,1,1,2
droidbot,app-53,1,1,3
droidbot,app-54,1,1,1
droidbot,app-54,1,1,2
droidbot,app-54,1,1,3
droidbot,app-55,1,1,1
droidbot,app-55,1,1,2
droidbot,app-55,1,1,3
droidbot,app-56,0,1,1
droidbot,app-56,0,1,2
droidbot,app-56,0,1,3
droidbot,app-57,1,1,1
droidbot,app-57,1,1,2
droidbot,app-57,1,1,3
droidbot,app-58,1,1,1
droidbot,app-58,1,1,2
droidbot,app-58,1,1,3
droidbot,app-59,1,1,1
droidbot,app-59,1,1,2
droidbot,app-59,1,1,3
droidbot,app-6,1,1,1
droidbot,app-6,1,1,2
droidbot,app-6,1,1,3
droidbot,app-60,1,1,1
droidbot,app-60,1,1,2
droidbot,app-60,1,1,3
droidbot,app-61,1,1,1
droidbot,app-61,1,1,2
droidbot,app-61,1,1,3
droidbot,app-62,0,1,1
droidbot,app-62,1,1,2
droidbot,app-62,1,1,3
droidbot,app-63,0,1,1
droidbot,app-63,0,1,2
droidbot,app-63,0,1,3
droidbot,app-64,1,1,1
droidbot,app-64,1,1,2
droidbot,app-64,1,1,3
droidbot,app-65,0,1,1
droidbot,app-65,0,1,2
droidbot,app-65,0,1,3
droidbot,app-66,1,1,1
droidbot,app-66,1,1,2
droidbot,app-66,1,1,3
droidbot,app-67,1,1,1
droidbot,app-67,1,1,2
droidbot,app-67,1,1,3
droidbot,app-68,1,1,1
droidbot,app-68,0,1,2
droidbot,app-68,0,1,3
droidbot,app-69,0,1,1
droidbot,app-69,0,1,2
droidbot,app-69,0,1,3
droidbot,app-7,0,1,1
droidbot,app-7,0,1,2
droidbot,app-7,0,1,3
droidbot,app-70,1,1,1
droidbot,app-70,0,1,2
droidbot,app-70,1,1,3
droidbot,app-71,1,1,1
droidbot,app-71,1,1,2
droidbot,app-71,1,1,3
droidbot,app-72,1,1,1
droidbot,app-72,0,1,2
droidbot,app-72,1,1,3
droidbot,app-73,0,1,1
droidbot,app-73,0,1,2
droidbot,app-73,0,1,3
droidbot,app-74,1,1,1
droidbot,app-74,1,1,2
droidbot,app-74,1,1,3
droidbot,app-75,0,1,1
droidbot,app-75,0,1,2
droidbot,app-75,0,1,3
droidbot,app-76,1,1,1
droidbot,app-76,1,1,2
droidbot,app-76,1,1,3
droidbot,app-77,1,1,1
droidbot,app-77,1,1,2
droidbot,app-77,1,1,3
droidbot,app-78,1,1,1
droidbot,app-78,1,1,2
droidbot,app-78,1,1,3
droidbot,app-79,0,1,1
droidbot,app-79,0,1,2
droidbot,app-79,0,1,3
droidbot,app-8,1,1,1
droidbot,app-8,0,1,2
droidbot,app-8,0,1,3
droidbot,app-80,1,1,1
droidbot,app-80,1,1,2
droidbot,app-80,1,1,3
droidbot,app-81,0,1,1
droidbot,app-81,0,1,2
droidbot,app-81,0,1,3
droidbot,app-82,1,1,1
droidbot,app-82,1,1,2
droidbot,app-82,1,1,3
droidbot,app-83,1,1,1
droidbot,app-83,1,1,2
droidbot,app-83,1,1,3
droidbot,app-84,1,1,1
droidbot,app-84,1,1,2
droidbot,app-84,1,1,3
droidbot,app-85,1,1,1
droidbot,app-85,1,1,2
droidbot,app-85,1,1,3
droidbot,app-86,0,1,1
droidbot,app-86,0,1,2
droidbot,app-86,1,1,3
droidbot,app-87,1,1,1
droidbot,app-87,1,1,2
droidbot,app-87,1,1,3
droidbot,app-89,0,1,1
droidbot,app-89,0,1,2
droidbot,app-89,0,1,3
droidbot,app-9,1,1,1
droidbot,app-9,1,1,2
droidbot,app-9,1,1,3
droidbot,app-90,1,1,1
droidbot,app-90,1,1,2
droidbot,app-90,1,1,3
droidbot,app-91,1,1,1
droidbot,app-91,1,1,2
droidbot,app-91,1,1,3
droidbot,app-92,1,1,1
droidbot,app-92,1,1,2
droidbot,app-92,1,1,3
droidbot,app-94,0,1,1
droidbot,app-94,0,1,2
droidbot,app-94,0,1,3
droidbot,app-95,1,1,1
droidbot,app-95,1,1,2
droidbot,app-95,1,1,3
droidbot,app-96,1,1,1
droidbot,app-96,1,1,2
droidbot,app-96,1,1,3
droidbot,app-97,1,1,1
droidbot,app-97,1,1,2
droidbot,app-97,1,1,3
droidbot,app-98,1,1,1
droidbot,app-98,1,1,2
droidbot,app-98,1,1,3
droidbot,app-99,0,1,1
droidbot,app-99,0,1,2
droidbot,app-99,1,1,3
droidmate,app-1,1,1,1
droidmate,app-1,1,1,2
droidmate,app-1,1,1,3
droidmate,app-10,0,1,1
droidmate,app-10,0,1,2
droidmate,app-10,0,1,3
droidmate,app-100,1,1,1
droidmate,app-100,1,1,2
droidmate,app-100,1,1,3
droidmate,app-101,1,1,1
droidmate,app-101,1,1,2
droidmate,app-101,1,1,3
droidmate,app-102,0,1,1
droidmate,app-102,0,1,2
droidmate,app-102,0,1,3
droidmate,app-11,1,1,1
droidmate,app-11,1,1,2
droidmate,app-11,1,1,3
droidmate,app-12,0,1,1
droidmate,app-12,1,1,2
droidmate,app-12,1,1,3
droidmate,app-13,1,1,1
droidmate,app-13,1,1,2
droidmate,app-13,1,1,3
droidmate,app-14,1,1,1
droidmate,app-14,1,1,2
droidmate,app-14,0,1,3
droidmate,app-15,0,1,1
droidmate,app-15,0,1,2
droidmate,app-15,0,1,3
droidmate,app-16,1,1,1
droidmate,app-16,1,1,2
droidmate,app-16,1,1,3
droidmate,app-17,1,1,1
droidmate,app-17,1,1,2
droidmate,app-17,1,1,3
droidmate,app-18,1,1,1
droidmate,app-18,1,1,2
droidmate,app-18,1,1,3
droidmate,app-19,1,1,1
droidmate,app-19,1,1,2
droidmate,app-19,1,1,3
droidmate,app-2,0,1,1
droidmate,app-2,0,1,2
droidmate,app-2,0,1,3
droidmate,app-20,1,1,1
droidmate,app-20,1,1,2
droidmate,app-20,1,1,3
droidmate,app-21,1,1,1
droidmate,app-21,1,1,2
droidmate,app-21,1,1,3
droidmate,app-22,0,1,1
droidmate,app-22,0,1,2
droidmate,app-22,0,1,3
droidmate,app-23,1,1,1
droidmate,app-23,1,1,2
droidmate,app-23,1,1,3
droidmate,app-24,1,1,1
droidmate,app-24,1,1,2
droidmate,app-24,1,1,3
droidmate,app-26,1,1,1
droidmate,app-26,1,1,2
droidmate,app-26,1,1,3
droidmate,app-27,1,1,1
droidmate,app-27,1,1,2
droidmate,app-27,1,1,3
droidmate,app-28,1,1,1
droidmate,app-28,1,1,2
droidmate,app-28,1,1,3
droidmate,app-29,1,1,1
droidmate,app-29,1,1,2
droidmate,app-29,1,1,3
droidmate,app-3,1,1,1
droidmate,app-3,1,1,2
droidmate,app-3,1,1,3
droidmate,app-30,1,1,1
droidmate,app-30,1,1,2
droidmate,app-30,1,1,3
droidmate,app-31,0,1,1
droidmate,app-31,0,1,2
droidmate,app-31,0,1,3
droidmate,app-33,1,1,1
droidmate,app-33,1,1,2
droidmate,app-33,1,1,3
droidmate,app-34,1,1,1
droidmate,app-34,1,1,2
droidmate,app-34,1,1,3
droidmate,app-35,0,1,1
droidmate,app-35,0,1,2
droidmate,app-35,0,1,3
droidmate,app-37,0,1,1
droidmate,app-37,1,1,2
droidmate,app-37,1,1,3
droidmate,app-38,0,1,1
droidmate,app-38,0,1,2
droidmate,app-38,0,1,3
droidmate,app-39,0,1,1
droidmate,app-39,0,1,2
droidmate,app-39,0,1,3
droidmate,app-4,0,1,1
droidmate,app-4,0,1,2
droidmate,app-4,0,1,3
droidmate,app-40,1,1,1
droidmate,app-40,1,1,2
droidmate,app-40,1,1,3
droidmate,app-42,1,1,1
droidmate,app-42,1,1,2
droidmate,app-42,1,1,3
droidmate,app-43,1,1,1
droidmate,app-43,1,1,2
droidmate,app-43,1,1,3
droidmate,app-44,0,1,1
droidmate,app-44,0,1,2
droidmate,app-44,0,1,3
droidmate,app-45,1,1,1
droidmate,app-45,1,1,2
droidmate,app-45,1,1,3
droidmate,app-46,1,1,1
droidmate,app-46,1,1,2
droidmate,app-46,1,1,3
droidmate,app-47,0,1,1
droidmate,app-47,0,1,2
droidmate,app-47,0,1,3
droidmate,app-48,0,1,1
droidmate,app-48,0,1,2
droidmate,app-48,1,1,3
droidmate,app-49,1,1,1
droidmate,app-49,1,1,2
droidmate,app-49,1,1,3
droidmate,app-5,0,1,1
droidmate,app-5,0,1,2
droidmate,app-5,0,1,3
droidmate,app-50,1,1,1
droidmate,app-50,1,1,2
droidmate,app-50,1,1,3
droidmate,app-51,1,1,1
droidmate,app-51,1,1,2
droidmate,app-51,1,1,3
droidmate,app-52,1,1,1
droidmate,app-52,1,1,2
droidmate,app-52,1,1,3
droidmate,app-53,1,1,1
droidmate,app-53,1,1,2
droidmate,app-53,1,1,3
droidmate,app-54,1,1,1
droidmate,app-54,1,1,2
droidmate,app-54,1,1,3
droidmate,app-55,1,1,1
droidmate,app-55,1,1,2
droidmate,app-55,1,1,3
droidmate,app-56,0,1,1
droidmate,app-56,0,1,2
droidmate,app-56,0,1,3
droidmate,app-57,1,1,1
droidmate,app-57,1,1,2
droidmate,app-57,1,1,3
droidmate,app-58,1,1,1
droidmate,app-58,1,1,2
droidmate,app-58,1,1,3
droidmate,app-59,1,1,1
droidmate,app-59,1,1,2
droidmate,app-59,1,1,3
droidmate,app-6,0,1,1
droidmate,app-6,0,1,2
droidmate,app-6,0,1,3
droidmate,app-60,1,1,1
droidmate,app-60,1,1,2
droidmate,app-60,1,1,3
droidmate,app-61,1,1,1
droidmate,app-61,1,1,2
droidmate,app-61,1,1,3
droidmate,app-62,1,1,1
droidmate,app-62,0,1,2
droidmate,app-62,0,1,3
droidmate,app-63,0,1,1
droidmate,app-63,0,1,2
droidmate,app-63,0,1,3
droidmate,app-64,1,1,1
droidmate,app-64,1,1,2
droidmate,app-64,1,1,3
droidmate,app-65,0,1,1
droidmate,app-65,0,1,2
droidmate,app-65,0,1,3
droidmate,app-66,1,1,1
droidmate,app-66,1,1,2
droidmate,app-66,1,1,3
droidmate,app-67,1,1,1
droidmate,app-67,1,1,2
droidmate,app-67,1,1,3
droidmate,app-68,0,1,1
droidmate,app-68,0,1,2
droidmate,app-68,0,1,3
droidmate,app-69,0,1,1
droidmate,app-69,0,1,2
droidmate,app-69,0,1,3
droidmate,app-7,0,1,1
droidmate,app-7,0,1,2
droidmate,app-7,0,1,3
droidmate,app-70,0,1,1
droidmate,app-70,0,1,2
droidmate,app-70,0,1,3
droidmate,app-71,1,1,1
droidmate,app-71,1,1,2
droidmate,app-71,1,1,3
droidmate,app-72,1,1,1
droidmate,app-72,1,1,2
droidmate,app-72,1,1,3
droidmate,app-73,0,1,1
droidmate,app-73,0,1,2
droidmate,app-73,0,1,3
droidmate,app-74,1,1,1
droidmate,app-74,1,1,2
droidmate,app-74,1,1,3
droidmate,app-75,0,1,1
droidmate,app-75,0,1,2
droidmate,app-75,0,1,3
droidmate,app-76,1,1,1
droidmate,app-76,1,1,2
droidmate,app-76,1,1,3
droidmate,app-77,1,1,1
droidmate,app-77,1,1,2
droidmate,app-77,1,1,3
droidmate,app-78,1,1,1
droidmate,app-78,1,1,2
droidmate,app-78,1,1,3
droidmate,app-79,0,1,1
droidmate,app-79,0,1,2
droidmate,app-79,0,1,3
droidmate,app-8,0,1,1
droidmate,app-8,1,1,2
droidmate,app-8,0,1,3
droidmate,app-80,1,1,1
droidmate,app-80,1,1,2
droidmate,app-80,1,1,3
droidmate,app-81,0,1,1
droidmate,app-81,0,1,2
droidmate,app-81,0,1,3
droidmate,app-82,1,1,1
droidmate,app-82,1,1,2
droidmate,app-82,1,1,3
droidmate,app-83,1,1,1
droidmate,app-83,1,1,2
droidmate,app-83,1,1,3
droidmate,app-84,1,1,1
droidmate,app-84,1,1,2
droidmate,app-84,1,1,3
droidmate,app-85,1,1,1
droidmate,app-85,1,1,2
droidmate,app-85,1,1,3
droidmate,app-86,1,1,1
droidmate,app-86,0,1,2
droidmate,app-86,0,1,3
droidmate,app-87,1,1,1
droidmate,app-87,1,1,2
droidmate,app-87,1,1,3
droidmate,app-89,0,1,1
droidmate,app-89,0,1,2
droidmate,app-89,0,1,3
droidmate,app-9,1,1,1
droidmate,app-9,1,1,2
droidmate,app-9,1,1,3
droidmate,app-90,1,1,1
droidmate,app-90,1,1,2
droidmate,app-90,1,1,3
droidmate,app-91,1,1,1
droidmate,app-91,1,1,2
droidmate,app-91,1,1,3
droidmate,app-92,1,1,1
droidmate,app-92,1,1,2
droidmate,app-92,1,1,3
droidmate,app-94,0,1,1
droidmate,app-94,0,1,2
droidmate,app-94,0,1,3
droidmate,app-95,1,1,1
droidmate,app-95,1,1,2
droidmate,app-95,1,1,3
droidmate,app-96,1,1,1
droidmate,app-96,1,1,2
droidmate,app-96,1,1,3
droidmate,app-97,1,1,1
droidmate,app-97,1,1,2
droidmate,app-97,1,1,3
droidmate,app-98,1,1,1
droidmate,app-98,1,1,2
droidmate,app-98,1,1,3
droidmate,app-99,0,1,1
droidmate,app-99,0,1,2
droidmate,app-99,0,1,3
humanoid,app-1,1,1,1
humanoid,app-1,1,1,2
humanoid,app-1,1,1,3
humanoid,app-10,0,1,1
humanoid,app-10,0,1,2
humanoid,app-10,0,1,3
humanoid,app-100,1,1,1
humanoid,app-100,1,1,2
humanoid,app-100,1,1,3
humanoid,app-101,0,1,1
humanoid,app-101,0,1,2
humanoid,app-101,0,1,3
humanoid,app-102,0,1,1
humanoid,app-102,0,1,2
humanoid,app-102,0,1,3
humanoid,app-11,1,1,1
humanoid,app-11,1,1,2
humanoid,app-11,1,1,3
humanoid,app-12,0,1,1
humanoid,app-12,1,1,2
humanoid,app-12,1,1,3
humanoid,app-13,0,1,1
humanoid,app-13,0,1,2
humanoid,app-13,0,1,3
humanoid,app-14,1,1,1
humanoid,app-14,1,1,2
humanoid,app-14,1,1,3
humanoid,app-15,0,1,1
humanoid,app-15,0,1,2
humanoid,app-15,0,1,3
humanoid,app-16,1,1,1
humanoid,app-16,1,1,2
humanoid,app-16,1,1,3
humanoid,app-17,1,1,1
humanoid,app-17,1,1,2
humanoid,app-17,1,1,3
humanoid,app-18,1,1,1
humanoid,app-18,1,1,2
humanoid,app-18,1,1,3
humanoid,app-19,1,1,1
humanoid,app-19,1,1,2
humanoid,app-19,1,1,3
humanoid,app-2,0,1,1
humanoid,app-2,1,1,2
humanoid,app-2,0,1,3
humanoid,app-20,1,1,1
humanoid,app-20,1,1,2
humanoid,app-20,1,1,3
humanoid,app-21,1,1,1
humanoid,app-21,1,1,2
humanoid,app-21,1,1,3
humanoid,app-22,0,1,1
humanoid,app-22,0,1,2
humanoid,app-22,0,1,3
humanoid,app-23,1,1,1
humanoid,app-23,1,1,2
humanoid,app-23,1,1,3
humanoid,app-24,0,1,1
humanoid,app-24,0,1,2
humanoid,app-24,0,1,3
humanoid,app-26,1,1,1
humanoid,app-26,1,1,2
humanoid,app-26,1,1,3
humanoid,app-27,0,1,1
humanoid,app-27,1,1,2
humanoid,app-27,1,1,3
humanoid,app-28,1,1,1
humanoid,app-28,1,1,2
humanoid,app-28,1,1,3
humanoid,app-29,1,1,1
humanoid,app-29,1,1,2
humanoid,app-29,1,1,3
humanoid,app-3,1,1,1
humanoid,app-3,1,1,2
humanoid,app-3,1,1,3
humanoid,app-30,0,1,1
humanoid,app-30,0,1,2
humanoid,app-30,0,1,3
humanoid,app-31,0,1,1
humanoid,app-31,0,1,2
humanoid,app-31,0,1,3
humanoid,app-33,0,1,1
humanoid,app-33,1,1,2
humanoid,app-33,1,1,3
humanoid,app-34,0,1,1
humanoid,app-34,0,1,2
humanoid,app-34,0,1,3
humanoid,app-35,0,1,1
humanoid,app-35,0,1,2
humanoid,app-35,0,1,3
humanoid,app-37,0,1,1
humanoid,app-37,0,1,2
humanoid,app-37,0,1,3
humanoid,app-38,0,1,1
humanoid,app-38,0,1,2
humanoid,app-38,0,1,3
humanoid,app-39,0,1,1
humanoid,app-39,0,1,2
humanoid,app-39,0,1,3
humanoid,app-4,0,1,1
humanoid,app-4,0,1,2
humanoid,app-4,0,1,3
humanoid,app-40,0,1,1
humanoid,app-40,0,1,2
humanoid,app-40,0,1,3
humanoid,app-42,1,1,1
humanoid,app-42,1,1,2
humanoid,app-42,1,1,3
humanoid,app-43,1,1,1
humanoid,app-43,1,1,2
humanoid,app-43,1,1,3
humanoid,app-44,1,1,1
humanoid,app-44,1,1,2
humanoid,app-44,0,1,3
humanoid,app-45,1,1,1
humanoid,app-45,1,1,2
humanoid,app-45,1,1,3
humanoid,app-46,1,1,1
humanoid,app-46,1,1,2
humanoid,app-46,1,1,3
humanoid,app-47,1,1,1
humanoid,app-47,1,1,2
humanoid,app-47,0,1,3
humanoid,app-48,0,1,1
humanoid,app-48,0,1,2
humanoid,app-48,0,1,3
humanoid,app-49,1,1,1
humanoid,app-49,1,1,2
humanoid,app-49,1,1,3
humanoid,app-5,0,1,1
humanoid,app-5,0,1,2
humanoid,app-5,0,1,3
humanoid,app-50,1,1,1
humanoid,app-50,1,1,2
humanoid,app-50,1,1,3
humanoid,app-51,1,1,1
humanoid,app-51,1,1,2
humanoid,app-51,1,1,3
humanoid,app-52,1,1,1
humanoid,app-52,1,1,2
humanoid,app-52,1,1,3
humanoid,app-53,1,1,1
humanoid,app-53,1,1,2
humanoid,app-53,1,1,3
humanoid,app-54,1,1,1
humanoid,app-54,1,1,2
humanoid,app-54,1,1,3
humanoid,app-55,1,1,1
humanoid,app-55,1,1,2
humanoid,app-55,1,1,3
humanoid,app-56,0,1,1
humanoid,app-56,0,1,2
humanoid,app-56,0,1,3
humanoid,app-57,1,1,1
humanoid,app-57,1,1,2
humanoid,app-57,1,1,3
humanoid,app-58,1,1,1
humanoid,app-58,1,1,2
humanoid,app-58,1,1,3
humanoid,app-59,1,1,1
humanoid,app-59,1,1,2
humanoid,app-59,1,1,3
humanoid,app-6,0,1,1
humanoid,app-6,0,1,2
humanoid,app-6,0,1,3
humanoid,app-60,1,1,1
humanoid,app-60,1,1,2
humanoid,app-60,1,1,3
humanoid,app-61,1,1,1
humanoid,app-61,1,1,2
humanoid,app-61,1,1,3
humanoid,app-62,0,1,1
humanoid,app-62,0,1,2
humanoid,app-62,0,1,3
humanoid,app-63,0,1,1
humanoid,app-63,0,1,2
humanoid,app-63,0,1,3
humanoid,app-64,1,1,1
humanoid,app-64,1,1,2
humanoid,app-64,1,1,3
humanoid,app-65,0,1,1
humanoid,app-65,0,1,2
humanoid,app-65,0,1,3
humanoid,app-66,1,1,1
humanoid,app-66,1,1,2
humanoid,app-66,1,1,3
humanoid,app-67,1,1,1
humanoid,app-67,1,1,2
humanoid,app-67,1,1,3
humanoid,app-68,0,1,1
humanoid,app-68,0,1,2
humanoid,app-68,0,1,3
humanoid,app-69,0,1,1
humanoid,app-69,0,1,2
humanoid,app-69,0,1,3
humanoid,app-7,0,1,1
humanoid,app-7,0,1,2
humanoid,app-7,0,1,3
humanoid,app-70,0,1,1
humanoid,app-70,0,1,2
humanoid,app-70,0,1,3
humanoid,app-71,1,1,1
humanoid,app-71,1,1,2
humanoid,app-71,1,1,3
humanoid,app-72,0,1,1
humanoid,app-72,0,1,2
humanoid,app-72,0,1,3
humanoid,app-73,0,1,1
humanoid,app-73,0,1,2
humanoid,app-73,0,1,3
humanoid,app-74,1,1,1
humanoid,app-74,1,1,2
humanoid,app-74,1,1,3
humanoid,app-75,0,1,1
humanoid,app-75,0,1,2
humanoid,app-75,0,1,3
humanoid,app-76,1,1,1
humanoid,app-76,1,1,2
humanoid,app-76,1,1,3
humanoid,app-77,1,1,1
humanoid,app-77,1,1,2
humanoid,app-77,1,1,3
humanoid,app-78,1,1,1
humanoid,app-78,1,1,2
humanoid,app-78,1,1,3
humanoid,app-79,0,1,1
humanoid,app-79,0,1,2
humanoid,app-79,0,1,3
humanoid,app-8,0,1,1
humanoid,app-8,0,1,2
humanoid,app-8,0,1,3
humanoid,app-80,1,1,1
humanoid,app-80,1,1,2
humanoid,app-80,1,1,3
humanoid,app-81,0,1,1
humanoid,app-81,0,1,2
humanoid,app-81,0,1,3
humanoid,app-82,0,1,1
humanoid,app-82,1,1,2
humanoid,app-82,1,1,3
humanoid,app-83,1,1,1
humanoid,app-83,1,1,2
humanoid,app-83,1,1,3
humanoid,app-84,0,1,1
humanoid,app-84,1,1,2
humanoid,app-84,1,1,3
humanoid,app-85,1,1,1
humanoid,app-85,1,1,2
humanoid,app-85,1,1,3
humanoid,app-86,0,1,1
humanoid,app-86,0,1,2
humanoid,app-86,0,1,3
humanoid,app-87,0,1,1
