tool,app,malware,static,repetition
flowdroid,app-10,0,1,1
flowdroid,app-11,0,1,1
flowdroid,app-12,1,1,1
flowdroid,app-13,1,1,1
flowdroid,app-14,1,1,1
flowdroid,app-15,0,1,1
flowdroid,app-16,1,1,1
flowdroid,app-17,1,1,1
flowdroid,app-18,1,1,1
flowdroid,app-19,1,1,1
flowdroid,app-20,0,1,1
flowdroid,app-21,1,1,1
flowdroid,app-22,0,1,1
flowdroid,app-23,1,1,1
flowdroid,app-24,1,1,1
flowdroid,app-26,1,1,1
flowdroid,app-27,0,1,1
flowdroid,app-28,0,1,1
flowdroid,app-29,1,1,1
flowdroid,app-30,1,1,1
flowdroid,app-31,0,1,1
flowdroid,app-33,0,1,1
flowdroid,app-34,0,1,1
flowdroid,app-35,1,1,1
flowdroid,app-37,1,1,1
flowdroid,app-38,1,1,1
flowdroid,app-39,0,1,1
flowdroid,app-40,1,1,1
flowdroid,app-42,1,1,1
flowdroid,app-43,1,1,1
flowdroid,app-45,1,1,1
flowdroid,app-46,1,1,1
flowdroid,app-47,0,1,1
flowdroid,app-48,0,1,1
flowdroid,app-49,0,1,1
flowdroid,app-50,1,1,1
flowdroid,app-51,1,1,1
flowdroid,app-52,1,1,1
flowdroid,app-53,0,1,1
flowdroid,app-54,1,1,1
flowdroid,app-56,1,1,1
flowdroid,app-57,1,1,1
flowdroid,app-58,0,1,1
flowdroid,app-59,1,1,1
flowdroid,app-60,0,1,1
flowdroid,app-61,1,1,1
flowdroid,app-62,1,1,1
flowdroid,app-63,0,1,1
flowdroid,app-64,0,1,1
flowdroid,app-65,0,1,1
flowdroid,app-66,1,1,1
flowdroid,app-67,1,1,1
flowdroid,app-68,0,1,1
flowdroid,app-69,0,1,1
flowdroid,app-70,0,1,1
flowdroid,app-71,1,1,1
flowdroid,app-72,0,1,1
flowdroid,app-73,0,1,1
flowdroid,app-74,1,1,1
flowdroid,app-75,0,1,1
flowdroid,app-76,1,1,1
flowdroid,app-77,1,1,1
flowdroid,app-78,1,1,1
flowdroid,app-79,0,1,1
flowdroid,app-80,1,1,1
flowdroid,app-81,0,1,1
flowdroid,app-82,1,1,1
flowdroid,app-83,1,1,1
flowdroid,app-84,1,1,1
flowdroid,app-85,0,1,1
flowdroid,app-86,0,1,1
flowdroid,app-87,1,1,1
flowdroid,app-89,0,1,1
flowdroid,app-90,1,1,1
flowdroid,app-91,1,1,1
flowdroid,app-92,1,1,1
flowdroid,app-94,1,1,1
flowdroid,app-95,1,1,1
flowdroid,app-96,0,1,1
flowdroid,app-97,0,1,1
flowdroid,app-98,1,1,1
flowdroid,app-99,0,1,1
flowdroid,app-1,1,1,1
flowdroid,app-2,1,1,1
flowdroid,app-3,1,1,1
flowdroid,app-4,0,1,1
flowdroid,app-5,0,1,1
flowdroid,app-6,1,1,1
flowdroid,app-7,0,1,1
